verb_lemma	verb_freq	P(verb)	caus_freq	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_expected	log_actual	log_odds_ratio
içer	12414	0.003	1e-10	0.064	0.000192	8.055421298533913e-15	-8.558015185936492	-32.45243107691405	23.894
birleş	12251	0.003	4154.0	0.064	0.000192	0.3390743612766305	-8.558015185936492	-1.0815358408581128	-7.476
kaybet	12220	0.003	79.0	0.064	0.000192	0.00646481178396072	-8.558015185936492	-5.0413813802585645	-3.517
topla	12166	0.003	170.0	0.064	0.000192	0.013973368403748151	-8.558015185936492	-4.270602017830389	-4.287
hazırla	12020	0.003	152.0	0.064	0.000192	0.01264559068219634	-8.558015185936492	-4.370446687242922	-4.188
yürü	11937	0.002	7700.0	0.064	0.000128	0.6450531959453799	-8.963480294044658	-0.4384224912532631	-8.525
izle	11219	0.002	51.0	0.064	0.000128	0.004545859702290757	-8.963480294044658	-5.393538415820639	-3.57
işle	11084	0.002	4734.0	0.064	0.000128	0.4271021291952364	-8.963480294044658	-0.8507321159089398	-8.113
yarat	11063	0.002	2.0	0.064	0.000128	0.00018078278947844165	-8.963480294044658	-8.618214305474966	-0.345
tanımla	10867	0.002	1.0	0.064	0.000128	9.202171712524156e-05	-8.963480294044658	-9.293485953062852	0.33
belirle	10707	0.002	1e-10	0.064	0.000128	9.339684318670029e-15	-8.963480294044658	-32.30450394209873	23.341
oku	10488	0.002	674.0	0.064	0.000128	0.06426392067124333	-8.963480294044658	-2.7447569145312287	-6.219
var	10454	0.002	26.0	0.064	0.000128	0.002487086282762579	-8.963480294044658	-5.9966434212513855	-2.967
yönet	10439	0.002	2.0	0.064	0.000128	0.0001915892326851231	-8.963480294044658	-8.560156890848353	-0.403
koru	10293	0.002	1.0	0.064	0.000128	9.71534052268532e-05	-8.963480294044658	-9.23921933152656	0.276
bitir	10277	0.002	1.0	0.064	0.000128	9.730466089325679e-05	-8.963480294044658	-9.237663667625073	0.274
